"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"PYF","French Polynesia","PYF","French Polynesia",,"O","Oceania","O9","Polynesia","PYF","French Polynesia",TRUE,FALSE,,"regional (region)","regional (region)","regional (region)","regional (region)"
"GAB","Gabon","GAB","Gabon","Gabon","F","Africa","F6","Sub-Saharan Africa","F5","Middle Africa",TRUE,TRUE,,"own","own","own","own"
"GMB","Gambia","GMB","Gambia, The","Gambia","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"GEO","Georgia","GEO","Georgia","Georgia","S","Asia","S4_S7","Southern and Central Asia","GEO","Georgia",TRUE,TRUE,,"own","own","own","own"
"GHA","Ghana","GHA","Ghana","Ghana","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"GIB","Gibraltar","GIB","Gibraltar",,"E","Europe","GIB","Gibraltar","GIB","Gibraltar",TRUE,FALSE,,"regional (continent)","regional (continent)","regional (continent)","regional (continent)"
"GRD","Grenada","GRD","Grenada","Grenada","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"GTM","Guatemala","GTM","Guatemala","Guatemala","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"GIN","Guinea","GIN","Guinea","Guinea","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"GNB","Guinea-Bissau","GNB","Guinea-Bissau","Guinea-Bissau","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"GUY","Guyana","GUY","Guyana","Guyana","A","America","A7","South America","GUY","Guyana",TRUE,TRUE,,"own","own","own","own"
"HTI","Haiti","HTI","Haiti","Haiti","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"HND","Honduras","HND","Honduras","Honduras","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"HKG","Hong Kong (China)","HKG","Hong Kong SAR, China",,"S","Asia","S97","Far East Asia","HKG","Hong Kong (China)",TRUE,FALSE,,"regional (region)","regional (region)","regional (region)","regional (region)"
"IND","India","IND","India","India","S","Asia","S4_S7","Southern and Central Asia","IND","India",TRUE,TRUE,,"own","own","own","own"
